"season","through_week","team","metric","value","n_plays","availability","output_class","source_coverage","season_bounds"
2026,2,"PIT","screen_rate",0.0361,83,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"PIT","rpo_rate",0.0361,83,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"PIT","motion_rate",0.4096,83,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"PIT","no_huddle_rate",0.0482,83,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"SEA","play_action_rate",0.1642,67,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"SEA","screen_rate",0.0149,67,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"SEA","rpo_rate",0,67,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"SEA","motion_rate",0.4179,67,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"SEA","no_huddle_rate",0.0149,67,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"SF","play_action_rate",0.1067,75,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"SF","screen_rate",0.0933,75,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"SF","rpo_rate",0,75,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"SF","motion_rate",0.68,75,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"SF","no_huddle_rate",0,75,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"TB","play_action_rate",0.2133,75,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"TB","screen_rate",0.0533,75,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"TB","rpo_rate",0.0133,75,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
2026,2,"TB","motion_rate",0.5333,75,"AVAILABLE","DESCRIPTIVE_ONLY","FTN charting (nflreadr::load_ftn_charting)","2022-2026"
