"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","coverage_rate_pressure","evidence_class","availability","source","family","window"
"00-0039163","CLEAN",1060,0.7,0.308275194430034,0.530188679245283,8.29622641509434,5.16307277628032,0.174528301886792,0,0,0.0179245283018868,0.0471698113207547,2.49200378071834,27,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039163","PRESSURED",497,0.374245472837022,-0.486852313849925,0.259557344064386,9.1640625,5.16129032258065,0.110663983903421,0.227364185110664,0,0.0120724346076459,0.0241448692152917,3.53940414507772,27,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039164","CLEAN",252,0.551587301587302,0.0991645547300696,0.428571428571428,10.8690476190476,6.14388489208633,0.166666666666667,0,0,0.0357142857142857,0.0277777777777778,2.36756,13,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039164","PRESSURED",117,0.324786324786325,-0.597147676601159,0.213675213675214,12.4166666666667,5.94736842105263,0.0683760683760684,0.17948717948718,0,0.0341880341880342,0.0341880341880342,3.40773195876289,11,1,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039376","CLEAN",352,0.678977272727273,-0.0338211757285561,0.463068181818182,6.98579545454546,4.26470588235294,0.0965909090909091,0,0,0.0198863636363636,0.0284090909090909,2.29886363636364,14,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039376","PRESSURED",169,0.384615384615385,-0.637866004823211,0.272189349112426,10.8914728682171,4.13846153846154,0.0473372781065089,0.236686390532544,0,0.0177514792899408,0.0118343195266272,3.23333333333333,13,1,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039732","CLEAN",889,0.705286839145107,0.219308149893129,0.489313835770529,7.14735658042745,5.42424242424243,0.136107986501687,0,0,0.0134983127109111,0.047244094488189,2.55184971098266,22,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039732","PRESSURED",334,0.410179640718563,-0.364482219715643,0.284431137724551,7.80902777777778,5.56204379562044,0.0838323353293413,0.137724550898204,0,0.0329341317365269,0.0359281437125748,3.36136842105263,22,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039851","CLEAN",615,0.747967479674797,0.384459577213118,0.591869918699187,8.35609756097561,4.66521739130435,0.175609756097561,0,0,0.0211382113821138,0.0601626016260161,2.50374592833876,21,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039851","PRESSURED",295,0.403389830508475,-0.370031937999491,0.332203389830509,8.5373831775701,6.64705882352941,0.108474576271186,0.274576271186441,0,0.0169491525423729,0.0305084745762712,3.29626168224299,21,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039910","CLEAN",515,0.722330097087378,0.252755248979497,0.52621359223301,6.93980582524272,5.0268817204301,0.10873786407767,0,0,0.0116504854368932,0.0446601941747573,2.43514563106796,18,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039910","PRESSURED",214,0.341121495327103,-0.386538562836041,0.275700934579439,9.16107382550335,6.67123287671233,0.11214953271028,0.303738317757009,0,0.0280373831775701,0.0467289719626168,3.21824324324324,17,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039917","CLEAN",304,0.657894736842105,0.226038101749673,0.539473684210526,8.82565789473684,5.09,0.164473684210526,0,0,0.0164473684210526,0.0361842105263158,2.45690789473684,11,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
