"gsis_id","depth_bin","field_third","attempts","completions","completion_pct","air_yards","yards_per_attempt","epa_per_attempt_raw","success_rate","td_rate","int_rate","explosive_rate","first_down_rate","yac","attempts_total","attempts_charted","attempts_uncharted","epa_overall","attempt_share","epa_per_attempt","evidence_class","output_class","window"
"00-0022177","BEHIND_LOS","MIDDLE",1,1,1,-3,8,1.74852364487015,1,0,0,0,1,11,53,53,0,-0.0640514108193236,0.0188679245283019,-0.0343370656440864,"INSUFFICIENT","OBSERVED","career"
"00-0022177","BEHIND_LOS","RIGHT",6,5,0.833333333333333,-2,2.66666666666667,-0.136991568210457,0.333333333333333,0,0,0,0.166666666666667,5.4,53,53,0,-0.0640514108193236,0.113207547169811,-0.0706823342185176,"INSUFFICIENT","OBSERVED","career"
"00-0022177","SHORT","LEFT",2,2,1,2,2,-0.112602483248338,0.5,0,0,0,0,0,53,53,0,-0.0640514108193236,0.0377358490566038,-0.065617574446066,"INSUFFICIENT","OBSERVED","career"
"00-0022177","SHORT","MIDDLE",5,2,0.4,4.8,3,-0.673712671396788,0.2,0,0,0,0.2,2.5,53,53,0,-0.0640514108193236,0.0943396226415094,-0.110948430863744,"INSUFFICIENT","OBSERVED","career"
"00-0022177","SHORT","RIGHT",12,5,0.416666666666667,3.66666666666667,3.08333333333333,-0.26985129908233,0.25,0,0,0,0.166666666666667,4.2,53,53,0,-0.0640514108193236,0.226415094339623,-0.0983513921964914,"INSUFFICIENT","OBSERVED","career"
"00-0022177","INTERMEDIATE","LEFT",7,3,0.428571428571429,13.5714285714286,8.85714285714286,0.326503127050751,0.428571428571429,0,0,0.285714285714286,0.428571428571429,5.66666666666667,53,53,0,-0.0640514108193236,0.132075471698113,-0.0232472053702114,"INSUFFICIENT","OBSERVED","career"
"00-0022177","INTERMEDIATE","MIDDLE",1,1,1,19,22,1.94691049971152,1,0,0,1,1,3,53,53,0,-0.0640514108193236,0.0188679245283019,-0.0310848221220967,"INSUFFICIENT","OBSERVED","career"
"00-0022177","INTERMEDIATE","RIGHT",5,2,0.4,13.8,5.4,-0.0332551066414453,0.4,0,0,0.2,0.4,0.5,53,53,0,-0.0640514108193236,0.0943396226415094,-0.0616824643441022,"INSUFFICIENT","OBSERVED","career"
"00-0022177","DEEP","LEFT",3,1,0.333333333333333,24.6666666666667,12.3333333333333,-0.532422258596246,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,3,53,53,0,-0.0640514108193236,0.0566037735849057,-0.0863547845229866,"INSUFFICIENT","OBSERVED","career"
"00-0022177","DEEP","MIDDLE",3,1,0.333333333333333,29.6666666666667,8.33333333333333,0.486228484330544,0.333333333333333,0,0,0.333333333333333,0.333333333333333,4,53,53,0,-0.0640514108193236,0.0566037735849057,-0.0378476062883776,"INSUFFICIENT","OBSERVED","career"
"00-0022177","DEEP","RIGHT",5,0,0,29.2,0,-0.426129436900374,0,0,0,0,0,,53,53,0,-0.0640514108193236,0.0943396226415094,-0.0919035666717121,"INSUFFICIENT","OBSERVED","career"
