"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","coverage_rate_mz","evidence_class","availability","source","family","window"
"00-0033275","COVER_0",2,0,-0.956489592368598,0,-1,,0,0,0,0,0,3.4,1,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033275","COVER_1",17,0.352941176470588,-0.0382660223147148,0.294117647058824,12.3125,5.66666666666667,0.0588235294117647,0.0588235294117647,0,0,0,2.625,4,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033275","COVER_2",26,0.615384615384615,-0.0870829981891664,0.384615384615385,5.52173913043478,5.6875,0.153846153846154,0.115384615384615,0,0.0384615384615385,0,2.52608695652174,4,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033275","COVER_3",26,0.461538461538462,-0.14582624544318,0.307692307692308,7.63636363636364,13.4166666666667,0.192307692307692,0.153846153846154,0,0,0.0384615384615385,2.84090909090909,4,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033275","COVER_4",26,0.384615384615385,-0.514511349476534,0.269230769230769,6.60869565217391,5.1,0.0769230769230769,0.115384615384615,0,0.0384615384615385,0,2.59545454545455,4,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033275","COVER_6",6,0.5,-1.9727604543732,0.333333333333333,6.33333333333333,3,0,0,0,0.333333333333333,0,2.4,3,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033275","OTHER",12,0.416666666666667,0.111800234038787,0.416666666666667,12.1666666666667,5,0.0833333333333333,0,0,0,0,3.16666666666667,5,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033357","2_MAN",3,0.666666666666667,1.51106589726017,0.666666666666667,13.6666666666667,5.5,0.333333333333333,0,0,0,0,2.80533333333333,2,0.91044776119403,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033357","COVER_0",20,0.55,-0.0810493450994105,0.4,5.4,4.81818181818182,0.25,0,0,0,0.05,2.4532,13,0.91044776119403,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033357","COVER_1",78,0.666666666666667,0.434145081225627,0.525641025641026,8.85714285714286,6.75,0.256410256410256,0.0128205128205128,0,0.0128205128205128,0.0512820512820513,2.78602597402597,11,0.91044776119403,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033357","COVER_2",50,0.72,0.154078613706871,0.54,7.32,4.69444444444445,0.14,0,0,0.04,0.04,2.89206,8,0.91044776119403,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033357","COVER_3",95,0.610526315789474,-0.0195759621250328,0.452631578947368,8.26315789473684,5,0.157894736842105,0,0,0.0526315789473684,0.0315789473684211,2.87838947368421,14,0.91044776119403,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033357","COVER_4",46,0.565217391304348,0.0765064447186809,0.456521739130435,8.35555555555556,4.38461538461538,0.130434782608696,0.0217391304347826,0,0.0217391304347826,0.0217391304347826,3.01117777777778,15,0.91044776119403,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033357","COVER_6",12,0.75,0.463123123624578,0.5,10,7.22222222222222,0.25,0,0,0,0.0833333333333333,2.60833333333333,4,0.91044776119403,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033357","OTHER",1,0,-3.09631787312378,0,1,,0,0,0,0,0,3.3,1,0.91044776119403,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033537","2_MAN",19,0.631578947368421,0.607156098492468,0.526315789473684,7.94444444444444,5.5,0.210526315789474,0.0526315789473684,0,0,0.0526315789473684,3.25283333333333,11,0.958333333333333,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033537","COVER_0",13,0.461538461538462,0.177819135379306,0.384615384615385,1.84615384615385,1.5,0,0,0,0,0.307692307692308,3.26507692307692,7,0.958333333333333,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033537","COVER_1",200,0.465,-0.299019884213623,0.34,9.65317919075144,3.91397849462366,0.08,0.135,0,0.00999999999999999,0.025,2.72563005780347,13,0.958333333333333,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033537","COVER_2",103,0.601941747572816,-0.17441329500525,0.368932038834951,6.44329896907217,4.74193548387097,0.087378640776699,0.058252427184466,0,0.0388349514563107,0.0194174757281553,3.25753125,14,0.958333333333333,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
