"gsis_id","deep_rate","behind_los_rate","middle_rate","intermediate_middle_rate","deep_epa","short_epa","aDOT","pressure_epa_delta","pressure_scramble_rate","play_action_rate","archetype_cluster","archetype_label_status","vector_version"
"00-0035704",0.13871635610766,0.164596273291925,0.208074534161491,0.0600414078674948,0.0236703406056135,0.0831015454169725,8.09006211180124,-0.568562748019792,0,0.184115523465704,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0035710",0.0888548448870165,0.144389122941402,0.235158942933742,0.0720030639601685,0.300380937383964,0.0831518688156421,7.44427422443508,-0.374241779282665,0,0.273283480625425,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0035752",0.1,0.15,0.175,0.025,-0.38286696225309,-0.382496984617439,6.875,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0035939",0.0303030303030303,0.212121212121212,0.121212121212121,0.0303030303030303,-0.326842040551996,-0.276335309312554,5.93939393939394,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0035993",0.091588785046729,0.145794392523364,0.241121495327103,0.0392523364485981,-0.0328412546234491,0.0771412289620641,7.50093457943925,-0.54079255047303,0,0.234828496042216,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0036197",0.133333333333333,0.166666666666667,0.15,0.0333333333333333,-0.352625869730248,-0.353214237345309,7.23333333333334,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0036212",0.100414937759336,0.190871369294606,0.225311203319502,0.0850622406639004,0.478419289466031,0.162503597442616,7.43153526970954,-0.555351723694875,0,0.277082199237888,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0036264",0.14257555847569,0.185282522996058,0.208278580814717,0.0670170827858081,0.352692182285571,0.220935749254258,8.65374507227332,-0.774201642618038,0,0.224262295081967,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0036312",0.127272727272727,0.163636363636364,0.154545454545455,0.0363636363636364,-0.233216505091729,-0.206195224175789,7.96363636363636,-0.692381382596464,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0036355",0.111726954492415,0.172987164527421,0.194574095682614,0.0498833138856476,0.430369759666427,0.157659038706574,7.51662777129522,-0.476282432622074,0,0.257302405498282,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0036384",0.119047619047619,0.214285714285714,0.142857142857143,0,-0.07510431884045,-0.0914752074688108,8.30952380952381,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0036389",0.12987012987013,0.149560117302053,0.13782991202346,0.0393799748638458,0.375504970081164,0.14548355207254,8.58190196899874,-0.612214543935364,0,0.213920163766633,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0036442",0.09620886981402,0.161301859799714,0.218168812589413,0.0661659513590844,0.384995507094493,0.244976523418525,7.37732474964235,-0.41941348797609,0,0.154803384768542,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0036879",0.138613861386139,0.168316831683168,0.247524752475248,0.0495049504950495,-0.15755485267077,-0.0650965183347108,7.14851485148515,-0.453853691601137,0,0.252173913043478,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0036898",0.105978260869565,0.170289855072464,0.185688405797101,0.0489130434782609,0.112988635531424,-0.0653885733760624,7.6983695652174,-0.34036227543058,0,0.211920529801325,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0036945",0.139605462822458,0.159332321699545,0.195751138088012,0.0546282245827011,0.201776556737785,0.0458510672506279,8.44157814871017,-0.532415639507127,0,0.24748322147651,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0036971",0.122243713733075,0.166344294003868,0.192649903288201,0.0518375241779497,0.338131123179576,0.0897823248369367,8.19381044487427,-0.512626099882393,0,0.216896060749881,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0036972",0.116028062601187,0.184565569347005,0.226659471127901,0.0593631948192121,-0.0106502514350289,0.105307211379514,7.5979492714517,-0.511670497309295,0,0.159971811134602,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
