"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","formation_share","evidence_class","availability","source","family","window"
"00-0031503","EMPTY",261,0.60919540229885,0.03790341390004,0.471264367816092,8.36144578313253,4.46540880503145,0.118773946360153,0.0459770114942529,0,0.0383141762452107,0.0344827586206897,2.409,28,0.0907826086956522,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031503","I_FORM",153,0.620915032679739,0.338815123868386,0.529411764705882,10.7448275862069,4.12631578947368,0.176470588235294,0.0522875816993464,0,0.0130718954248366,0.0653594771241829,3.23031724137931,27,0.0532173913043478,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031503","JUMBO",9,0.777777777777778,0.959073192653402,0.777777777777778,3.11111111111111,2,0,0,0,0,0.555555555555556,2.94366666666667,8,0.0031304347826087,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031503","PISTOL",10,0.4,-0.216804600990145,0.2,6.22222222222222,1.75,0,0.1,0,0,0.1,3.011,9,0.00347826086956522,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031503","SHOTGUN",1882,0.57173219978746,0.0461977528869798,0.45749202975558,10.0312855517634,3.94888475836431,0.134962805526036,0.0658873538788522,0,0.0340063761955366,0.0425079702444208,2.71908195788275,29,0.654608695652174,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031503","SINGLEBACK",490,0.583673469387755,0.183626669796113,0.516326530612245,11.8091106290672,5.68181818181818,0.204081632653061,0.0591836734693877,0,0.036734693877551,0.0510204081632653,3.02840780911063,28,0.170434782608696,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031503","UNDER CENTER",70,0.514285714285714,0.0698288753535831,0.485714285714286,12.4920634920635,7.75,0.271428571428571,0.1,0,0.0571428571428572,0.0571428571428571,3.35238095238095,9,0.0243478260869565,"MODERATE","PRIOR_ONLY","participation","qb_formation","career"
"00-0031568","EMPTY",31,0.741935483870968,0.264423703787545,0.548387096774194,8.09677419354839,3.65217391304348,0.129032258064516,0,0,0,0,2.22312903225806,6,0.117424242424242,"WEAK","PRIOR_ONLY","participation","qb_formation","career"
"00-0031568","I_FORM",11,0.545454545454545,-0.13347769191023,0.454545454545455,2.4,8.66666666666667,0.0909090909090909,0.0909090909090909,0,0,0,3.1562,7,0.0416666666666667,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031568","PISTOL",3,0.666666666666667,0.0180091070942581,0.666666666666667,3.66666666666667,7.5,0,0,0,0,0,2.17133333333333,3,0.0113636363636364,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031568","SHOTGUN",182,0.45054945054945,-0.361658105165256,0.318681318681319,8.83832335329341,4.91463414634146,0.0659340659340659,0.0824175824175824,0,0.0494505494505494,0.010989010989011,2.3980119760479,8,0.68939393939394,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031568","SINGLEBACK",37,0.432432432432432,-0.18205159703408,0.297297297297297,8.93939393939394,5.5,0.108108108108108,0.108108108108108,0,0.027027027027027,0.0540540540540541,2.87793939393939,7,0.140151515151515,"WEAK","PRIOR_ONLY","participation","qb_formation","career"
"00-0031589","EMPTY",73,0.657534246575342,0.0563599063751305,0.493150684931507,6.47826086956522,4.27083333333333,0.0684931506849315,0.0547945205479452,0,0.0410958904109589,0.0273972602739726,2.6394347826087,9,0.198910081743869,"MODERATE","PRIOR_ONLY","participation","qb_formation","career"
