"team","run_gap","carries_allowed","yards_per_carry_allowed","epa_per_rush_allowed","success_rate_allowed","explosive_rate_allowed","evidence_class","output_class","window"
"IND","GUARD",328,3.77134146341464,-0.147905230649792,0.353658536585366,0.048780487804878,"STRONG","OBSERVED","recent"
"IND","TACKLE",309,4.21359223300971,-0.0643162384939499,0.40453074433657,0.0679611650485437,"STRONG","OBSERVED","recent"
"JAX","END",278,4.47482014388489,-0.0670100029046458,0.388489208633093,0.10431654676259,"STRONG","OBSERVED","recent"
"JAX","GUARD",217,4.25806451612903,-0.00176539685206687,0.359447004608295,0.0783410138248848,"STRONG","OBSERVED","recent"
"JAX","TACKLE",204,4.20588235294118,-0.0589802395446372,0.362745098039216,0.0784313725490196,"STRONG","OBSERVED","recent"
"KC","END",370,4.80810810810811,0.0118387475824387,0.416216216216216,0.072972972972973,"STRONG","OBSERVED","recent"
"KC","GUARD",308,3.57467532467532,-0.099579913846887,0.366883116883117,0.0324675324675325,"STRONG","OBSERVED","recent"
"KC","TACKLE",195,3.74871794871795,-0.14661748444989,0.343589743589744,0.0615384615384615,"STRONG","OBSERVED","recent"
"LAC","END",258,4.98449612403101,-0.0136643230195609,0.387596899224806,0.116279069767442,"STRONG","OBSERVED","recent"
"LAC","GUARD",293,4.3617747440273,-0.0355874825153265,0.406143344709898,0.0546075085324232,"STRONG","OBSERVED","recent"
"LAC","TACKLE",275,4.33818181818182,-0.0932640060056784,0.392727272727273,0.0690909090909091,"STRONG","OBSERVED","recent"
"LAR","END",256,5.015625,-0.00539462266738155,0.44921875,0.09375,"STRONG","OBSERVED","recent"
"LAR","GUARD",261,4.18007662835249,-0.0362903641998239,0.379310344827586,0.053639846743295,"STRONG","OBSERVED","recent"
"LAR","TACKLE",314,4.76114649681529,-0.0491085001025377,0.385350318471338,0.0796178343949045,"STRONG","OBSERVED","recent"
"LV","END",245,5.1265306122449,0.0316630866124795,0.453061224489796,0.130612244897959,"STRONG","OBSERVED","recent"
"LV","GUARD",366,3.65573770491803,-0.122213621564503,0.385245901639344,0.0437158469945355,"STRONG","OBSERVED","recent"
"LV","TACKLE",271,4.2140221402214,-0.0891639190869676,0.387453874538745,0.0627306273062731,"STRONG","OBSERVED","recent"
"MIA","END",211,4.82464454976303,-0.0207798360264538,0.440758293838863,0.113744075829384,"STRONG","OBSERVED","recent"
"MIA","GUARD",338,4.43786982248521,-0.0292160072622218,0.393491124260355,0.0591715976331361,"STRONG","OBSERVED","recent"
"MIA","TACKLE",267,4.17602996254681,-0.141525800703592,0.337078651685393,0.0898876404494382,"STRONG","OBSERVED","recent"
"MIN","END",276,4.72101449275362,-0.101357019358465,0.442028985507246,0.11231884057971,"STRONG","OBSERVED","recent"
"MIN","GUARD",318,3.94654088050315,-0.0897479902129766,0.380503144654088,0.0566037735849057,"STRONG","OBSERVED","recent"
"MIN","TACKLE",328,3.71646341463414,-0.116802773140758,0.38109756097561,0.0457317073170732,"STRONG","OBSERVED","recent"
"NE","END",305,5.11475409836065,0.0236914492519619,0.442622950819672,0.121311475409836,"STRONG","OBSERVED","recent"
"NE","GUARD",331,3.8429003021148,-0.0221197760691706,0.422960725075529,0.0453172205438066,"STRONG","OBSERVED","recent"
"NE","TACKLE",283,3.8339222614841,-0.159036027965388,0.342756183745583,0.049469964664311,"STRONG","OBSERVED","recent"
"NO","END",343,5.0466472303207,0.028835945168051,0.46064139941691,0.12536443148688,"STRONG","OBSERVED","recent"
"NO","GUARD",415,4.05060240963855,-0.0807295078343299,0.385542168674699,0.036144578313253,"STRONG","OBSERVED","recent"
"NO","TACKLE",310,4.46129032258064,-0.0368123333127615,0.383870967741936,0.0645161290322581,"STRONG","OBSERVED","recent"
"NYG","END",324,5.4537037037037,0.0745888612665544,0.472222222222222,0.160493827160494,"STRONG","OBSERVED","recent"
"NYG","GUARD",338,4.35798816568047,0.0178171392273294,0.446745562130178,0.0591715976331361,"STRONG","OBSERVED","recent"
"NYG","TACKLE",346,5.3728323699422,0.0231727898582171,0.395953757225434,0.0953757225433526,"STRONG","OBSERVED","recent"
"NYJ","END",354,3.97457627118644,-0.0761469587783116,0.42090395480226,0.0932203389830508,"STRONG","OBSERVED","recent"
"NYJ","GUARD",376,4.62765957446809,0.0363411099858774,0.417553191489362,0.0771276595744681,"STRONG","OBSERVED","recent"
"NYJ","TACKLE",315,3.94603174603175,-0.0761884020777023,0.387301587301587,0.0603174603174603,"STRONG","OBSERVED","recent"
"PHI","END",254,5.24015748031496,0.0748508189580982,0.484251968503937,0.133858267716535,"STRONG","OBSERVED","recent"
"PHI","GUARD",382,3.69895287958115,-0.13084169981605,0.361256544502618,0.0445026178010471,"STRONG","OBSERVED","recent"
"PHI","TACKLE",250,3.976,-0.166763545674905,0.312,0.064,"STRONG","OBSERVED","recent"
"PIT","END",204,5.53921568627451,0.0767298919967127,0.470588235294118,0.117647058823529,"STRONG","OBSERVED","recent"
"PIT","GUARD",401,4.10473815461347,-0.140263041735581,0.391521197007481,0.0748129675810474,"STRONG","OBSERVED","recent"
"PIT","TACKLE",297,4.25252525252525,-0.053107996666534,0.35016835016835,0.0875420875420875,"STRONG","OBSERVED","recent"
