"gsis_id","bucket","targets","catch_rate","yards_per_target","air_yards","yac","epa_per_target","success_rate","explosive_rate","n_opp","targets_eligible","targets_charted_mz","mz_coverage_rate","target_share_vs_bucket","evidence_class","availability","source","family","window"
"00-0030525","MAN",23,0.347826086956522,7.78260869565218,18.1304347826087,8.625,-0.106431484930858,0.347826086956522,0.173913043478261,13,79,79,1,0.291139240506329,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030525","ZONE",56,0.75,6.625,6.92857142857143,3.88095238095238,0.000539822840289599,0.517857142857143,0.107142857142857,19,79,79,1,0.708860759493671,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030549","MAN",57,0.543859649122807,5.50877192982456,8.47368421052632,2.67741935483871,0.0844121328298765,0.421052631578947,0.105263157894737,19,143,142,0.993006993006993,0.401408450704225,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030549","ZONE",85,0.741176470588235,7.64705882352941,8.42352941176471,2.93650793650794,0.316732582814027,0.6,0.129411764705882,22,143,142,0.993006993006993,0.598591549295775,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030564","MAN",317,0.608832807570978,7.22082018927445,10.2965299684543,3.69430051813472,0.231356189816105,0.536277602523659,0.135646687697161,31,893,889,0.99552071668533,0.356580427446569,"STRONG","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030564","ZONE",572,0.699300699300699,8.99475524475524,11.6451048951049,3.225,0.374612102348722,0.56993006993007,0.194055944055944,31,893,889,0.99552071668533,0.643419572553431,"STRONG","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030578","MAN",52,0.653846153846154,6.65384615384615,5.17647058823529,6.73529411764706,0.10756658886544,0.403846153846154,0.153846153846154,19,198,197,0.994949494949495,0.263959390862944,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030578","ZONE",145,0.779310344827586,6.23448275862069,2.93103448275862,6.30973451327434,-0.0357358985013519,0.496551724137931,0.0758620689655172,27,198,197,0.994949494949495,0.736040609137056,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030656","MAN",6,0.5,7.33333333333333,0.666666666666667,16,0.478302212616351,0.5,0.166666666666667,4,28,28,1,0.214285714285714,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030656","ZONE",22,0.818181818181818,4.90909090909091,-0.590909090909091,6.94444444444444,-0.00140886437138727,0.454545454545455,0.0909090909090909,9,28,28,1,0.785714285714286,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030663","MAN",70,0.614285714285714,6.18571428571429,8.65714285714286,3.6046511627907,0.0139414612049567,0.514285714285714,0.114285714285714,17,200,200,1,0.35,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
