"gsis_id","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","concept","frequency","plays_with_concept","charted_plays","evidence_class","availability","source","family","window"
"00-0031345",119,0.638655462184874,-0.000122035894161251,0.512605042016807,6.44144144144144,8.34210526315789,0.19327731092437,0.0672268907563025,0,0.0336134453781512,0.0504201680672269,2.8893963963964,14,"play_action",0.215579710144928,119,552,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0031503",87,0.505747126436782,0.0600691834108733,0.459770114942529,12.9024390243902,7.29545454545454,0.195402298850575,0.0574712643678161,0,0.0459770114942529,0.0574712643678161,3.1180987654321,11,"play_action",0.155080213903743,87,561,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0031800",90,0.577777777777778,0.215368462504325,0.455555555555556,8.88505747126437,7.13461538461538,0.255555555555556,0.0333333333333333,0,0.0111111111111111,0.0666666666666667,3.33818390804598,12,"play_action",0.211267605633803,90,426,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0032156",24,0.541666666666667,-0.572860974544994,0.333333333333333,4.27272727272727,7.76923076923077,0.0833333333333333,0.0833333333333333,0,0.0416666666666667,0,3.08518181818182,6,"play_action",0.126984126984127,24,189,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0032268",212,0.622641509433962,0.226695753012275,0.533018867924528,10.2487562189055,5.1969696969697,0.212264150943396,0.0518867924528302,0,0.0283018867924528,0.0613207547169811,3.09952736318408,22,"play_action",0.332810047095761,212,637,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0032434",12,0.416666666666667,-0.491685302098631,0.25,6.63636363636364,11,0.166666666666667,0.0833333333333333,0,0,0,3.36363636363636,2,"play_action",0.17910447761194,12,67,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0032436",19,0.631578947368421,-0.135430391645059,0.473684210526316,3.47058823529412,6.08333333333333,0.105263157894737,0.105263157894737,0,0.0526315789473684,0.0526315789473684,2.86970588235294,6,"play_action",0.372549019607843,19,51,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0032950",114,0.605263157894737,0.0247309265224758,0.456140350877193,7.07339449541285,6.46376811594203,0.149122807017544,0.043859649122807,0,0.0263157894736842,0.043859649122807,2.86944036697248,12,"play_action",0.211895910780669,114,538,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0033077",474,0.649789029535865,0.0933535612224203,0.485232067510549,7.20767494356659,5.40909090909091,0.132911392405063,0.0654008438818565,0,0.00421940928270045,0.0527426160337553,2.90997078651685,30,"play_action",0.239878542510121,474,1976,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0033106",666,0.683183183183183,0.315766233208964,0.561561561561561,6.571875,7.2967032967033,0.216216216216216,0.0390390390390391,0,0.015015015015015,0.0690690690690691,3.01724256651017,31,"play_action",0.275092936802974,666,2421,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0033119",226,0.579646017699115,0.0164221437774851,0.460176991150442,8.08695652173913,6.57251908396946,0.172566371681416,0.084070796460177,0,0.0132743362831858,0.0353982300884956,3.35510628019324,20,"play_action",0.202146690518784,226,1118,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0033275",49,0.469387755102041,-0.0706614385815148,0.326530612244898,8.27083333333333,11.1739130434783,0.122448979591837,0.0204081632653061,0,0.0204081632653061,0.0204081632653061,3.00845833333333,7,"play_action",0.209401709401709,49,234,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0033319",70,0.685714285714286,0.355691489678741,0.585714285714286,9.07462686567164,5.35416666666667,0.214285714285714,0.0428571428571428,0,0.0285714285714286,0.0714285714285714,3.05770149253731,6,"play_action",0.37037037037037,70,189,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0033357",14,0.357142857142857,0.146586678218405,0.357142857142857,15.3076923076923,4.6,0.214285714285714,0.0714285714285714,0,0.0714285714285714,0.0714285714285715,3.034,8,"play_action",0.318181818181818,14,44,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0033537",153,0.594771241830065,-0.158524989876999,0.42483660130719,8,5.02197802197802,0.111111111111111,0.117647058823529,0,0.0261437908496732,0.0392156862745098,3.4374776119403,14,"play_action",0.245192307692308,153,624,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0033662",111,0.648648648648649,0.054768019242998,0.495495495495495,8.81818181818182,5.34722222222222,0.18018018018018,0.009009009009009,0,0.036036036036036,0.036036036036036,2.7668,13,"play_action",0.196113074204947,111,566,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0033869",68,0.720588235294118,0.250556595969743,0.529411764705882,8.359375,4.69387755102041,0.176470588235294,0.0588235294117647,0,0.0441176470588235,0.088235294117647,3.009046875,11,"play_action",0.186813186813187,68,364,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
